participant, age, gender, handedness, block_number, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, resp
19,34,female,right,1,images/PICTURE_430.png,images/PICTURE_79.png,images/PICTURE_363.png,images/PICTURE_296.png,<div><img width = '150' height = '150' src = 'images/PICTURE_430.png'></img></div>,d,D,TRUE,1804,11301,1443,199454,undefined,undefined
19,34,female,right,2,images/PICTURE_549.png,images/PICTURE_216.png,images/PICTURE_120.png,images/PICTURE_326.png,<div><img width = '150' height = '150' src = 'images/PICTURE_326.png'></img></div>,k,K,TRUE,1015,8145,712,211339,undefined,undefined
19,34,female,right,3,images/PICTURE_592.png,images/PICTURE_626.png,images/PICTURE_679.png,images/PICTURE_358.png,<div><img width = '150' height = '150' src = 'images/PICTURE_679.png'></img></div>,j,J,TRUE,842,4619,898,219716,undefined,undefined
19,34,female,right,4,images/PICTURE_201.png,images/PICTURE_46.png,images/PICTURE_612.png,images/PICTURE_611.png,<div><img width = '150' height = '150' src = 'images/PICTURE_611.png'></img></div>,k,K,TRUE,1195,3825,1209,227959,undefined,undefined
19,34,female,right,5,images/PICTURE_454.png,images/PICTURE_200.png,images/PICTURE_588.png,images/PICTURE_232.png,<div><img width = '150' height = '150' src = 'images/PICTURE_588.png'></img></div>,j,J,TRUE,1133,3487,1057,235652,undefined,undefined
19,34,female,right,6,images/PICTURE_361.png,images/PICTURE_604.png,images/PICTURE_433.png,images/PICTURE_309.png,<div><img width = '150' height = '150' src = 'images/PICTURE_361.png'></img></div>,d,D,TRUE,808,4411,615,243505,undefined,undefined
19,34,female,right,7,images/PICTURE_315.png,images/PICTURE_409.png,images/PICTURE_340.png,images/PICTURE_629.png,<div><img width = '150' height = '150' src = 'images/PICTURE_629.png'></img></div>,k,K,TRUE,2171,4624,1533,253849,undefined,undefined
19,34,female,right,8,images/PICTURE_119.png,images/PICTURE_743.png,images/PICTURE_707.png,images/PICTURE_407.png,<div><img width = '150' height = '150' src = 'images/PICTURE_119.png'></img></div>,d,D,TRUE,1430,3032,597,260923,undefined,undefined
19,34,female,right,9,images/PICTURE_234.png,images/PICTURE_275.png,images/PICTURE_235.png,images/PICTURE_565.png,<div><img width = '150' height = '150' src = 'images/PICTURE_565.png'></img></div>,k,K,TRUE,1518,2871,540,267867,undefined,undefined
19,34,female,right,10,images/PICTURE_722.png,images/PICTURE_72.png,images/PICTURE_71.png,images/PICTURE_156.png,<div><img width = '150' height = '150' src = 'images/PICTURE_722.png'></img></div>,d,D,TRUE,1174,3096,614,274766,undefined,undefined
19,34,female,right,11,images/PICTURE_316.png,images/PICTURE_90.png,images/PICTURE_93.png,images/PICTURE_305.png,<div><img width = '150' height = '150' src = 'images/PICTURE_93.png'></img></div>,j,J,TRUE,772,3797,953,282308,undefined,undefined
19,34,female,right,12,images/PICTURE_657.png,images/PICTURE_108.png,images/PICTURE_394.png,images/PICTURE_684.png,<div><img width = '150' height = '150' src = 'images/PICTURE_394.png'></img></div>,j,J,TRUE,1133,3105,549,289106,undefined,undefined
19,34,female,right,13,images/PICTURE_256.png,images/PICTURE_475.png,images/PICTURE_221.png,images/PICTURE_535.png,<div><img width = '150' height = '150' src = 'images/PICTURE_221.png'></img></div>,j,J,TRUE,646,2582,596,294945,undefined,undefined
19,34,female,right,14,images/PICTURE_89.png,images/PICTURE_338.png,images/PICTURE_474.png,images/PICTURE_676.png,<div><img width = '150' height = '150' src = 'images/PICTURE_89.png'></img></div>,d,D,TRUE,711,2251,1096,301017,undefined,undefined
