participant, age, gender, handedness, block_number, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, resp
50,23,male,right,1,images/PICTURE_711.png,images/PICTURE_614.png,images/PICTURE_324.png,images/PICTURE_26.png,<div><img width = '150' height = '150' src = 'images/PICTURE_614.png'></img></div>,f,F,TRUE,828,10305,3213,86591,undefined,undefined
50,23,male,right,2,images/PICTURE_750.png,images/PICTURE_302.png,images/PICTURE_517.png,images/PICTURE_663.png,<div><img width = '150' height = '150' src = 'images/PICTURE_517.png'></img></div>,j,J,TRUE,689,10143,1281,100720,undefined,undefined
50,23,male,right,3,images/PICTURE_111.png,images/PICTURE_275.png,images/PICTURE_521.png,images/PICTURE_359.png,<div><img width = '150' height = '150' src = 'images/PICTURE_359.png'></img></div>,k,K,TRUE,475,4295,892,108398,undefined,undefined
50,23,male,right,4,images/PICTURE_725.png,images/PICTURE_530.png,images/PICTURE_525.png,images/PICTURE_53.png,<div><img width = '150' height = '150' src = 'images/PICTURE_530.png'></img></div>,f,F,TRUE,439,6828,914,118592,undefined,undefined
50,23,male,right,5,images/PICTURE_546.png,images/PICTURE_683.png,images/PICTURE_657.png,images/PICTURE_37.png,<div><img width = '150' height = '150' src = 'images/PICTURE_683.png'></img></div>,f,F,TRUE,386,3452,844,125288,undefined,undefined
50,23,male,right,6,images/PICTURE_672.png,images/PICTURE_745.png,images/PICTURE_585.png,images/PICTURE_200.png,<div><img width = '150' height = '150' src = 'images/PICTURE_585.png'></img></div>,d,J,FALSE,266,2489,764,130821,undefined,undefined
50,23,male,right,7,images/PICTURE_92.png,images/PICTURE_655.png,images/PICTURE_675.png,images/PICTURE_509.png,<div><img width = '150' height = '150' src = 'images/PICTURE_675.png'></img></div>,j,J,TRUE,262,6235,1024,140362,undefined,undefined
50,23,male,right,8,images/PICTURE_390.png,images/PICTURE_388.png,images/PICTURE_138.png,images/PICTURE_96.png,<div><img width = '150' height = '150' src = 'images/PICTURE_138.png'></img></div>,j,J,TRUE,338,2467,1006,146193,undefined,undefined
50,23,male,right,9,images/PICTURE_101.png,images/PICTURE_216.png,images/PICTURE_584.png,images/PICTURE_651.png,<div><img width = '150' height = '150' src = 'images/PICTURE_216.png'></img></div>,f,F,TRUE,265,2412,760,151647,undefined,undefined
50,23,male,right,10,images/PICTURE_634.png,images/PICTURE_456.png,images/PICTURE_183.png,images/PICTURE_336.png,<div><img width = '150' height = '150' src = 'images/PICTURE_456.png'></img></div>,f,F,TRUE,351,3184,921,158122,undefined,undefined
50,23,male,right,11,images/PICTURE_738.png,images/PICTURE_606.png,images/PICTURE_28.png,images/PICTURE_202.png,<div><img width = '150' height = '150' src = 'images/PICTURE_28.png'></img></div>,j,J,TRUE,230,2874,868,164115,undefined,undefined
50,23,male,right,12,images/PICTURE_368.png,images/PICTURE_549.png,images/PICTURE_590.png,images/PICTURE_382.png,<div><img width = '150' height = '150' src = 'images/PICTURE_549.png'></img></div>,f,F,TRUE,245,3516,1590,171484,undefined,undefined
50,23,male,right,13,images/PICTURE_178.png,images/PICTURE_414.png,images/PICTURE_695.png,images/PICTURE_285.png,<div><img width = '150' height = '150' src = 'images/PICTURE_414.png'></img></div>,f,F,TRUE,239,4216,1403,179357,undefined,undefined
50,23,male,right,14,images/PICTURE_79.png,images/PICTURE_703.png,images/PICTURE_298.png,images/PICTURE_122.png,<div><img width = '150' height = '150' src = 'images/PICTURE_122.png'></img></div>,k,K,TRUE,468,3983,516,186340,undefined,undefined
50,23,male,right,15,images/PICTURE_649.png,images/PICTURE_365.png,images/PICTURE_446.png,images/PICTURE_278.png,<div><img width = '150' height = '150' src = 'images/PICTURE_365.png'></img></div>,j,F,FALSE,271,3476,1416,193521,undefined,undefined
50,23,male,right,16,images/PICTURE_588.png,images/PICTURE_327.png,images/PICTURE_465.png,images/PICTURE_395.png,<div><img width = '150' height = '150' src = 'images/PICTURE_588.png'></img></div>,d,D,TRUE,260,5172,1212,202180,undefined,undefined
50,23,male,right,17,images/PICTURE_629.png,images/PICTURE_479.png,images/PICTURE_189.png,images/PICTURE_67.png,<div><img width = '150' height = '150' src = 'images/PICTURE_629.png'></img></div>,d,D,TRUE,231,2921,653,208002,undefined,undefined
50,23,male,right,18,images/PICTURE_735.png,images/PICTURE_308.png,images/PICTURE_123.png,images/PICTURE_46.png,<div><img width = '150' height = '150' src = 'images/PICTURE_308.png'></img></div>,f,F,TRUE,490,3717,919,215148,undefined,undefined
50,23,male,right,19,images/PICTURE_161.png,images/PICTURE_692.png,images/PICTURE_193.png,images/PICTURE_370.png,<div><img width = '150' height = '150' src = 'images/PICTURE_370.png'></img></div>,k,K,TRUE,97,6397,504,224161,undefined,undefined
50,23,male,right,20,images/PICTURE_140.png,images/PICTURE_57.png,images/PICTURE_618.png,images/PICTURE_174.png,<div><img width = '150' height = '150' src = 'images/PICTURE_618.png'></img></div>,f,J,FALSE,251,4095,853,231377,undefined,undefined
50,23,male,right,21,images/PICTURE_607.png,images/PICTURE_344.png,images/PICTURE_277.png,images/PICTURE_715.png,<div><img width = '150' height = '150' src = 'images/PICTURE_607.png'></img></div>,d,D,TRUE,199,2460,699,236752,undefined,undefined
50,23,male,right,22,images/PICTURE_638.png,images/PICTURE_296.png,images/PICTURE_130.png,images/PICTURE_416.png,<div><img width = '150' height = '150' src = 'images/PICTURE_638.png'></img></div>,d,D,TRUE,319,7066,777,246931,undefined,undefined
50,23,male,right,23,images/PICTURE_163.png,images/PICTURE_263.png,images/PICTURE_458.png,images/PICTURE_646.png,<div><img width = '150' height = '150' src = 'images/PICTURE_646.png'></img></div>,k,K,TRUE,401,4073,520,253939,undefined,undefined
50,23,male,right,24,images/PICTURE_98.png,images/PICTURE_676.png,images/PICTURE_281.png,images/PICTURE_72.png,<div><img width = '150' height = '150' src = 'images/PICTURE_72.png'></img></div>,k,K,TRUE,338,2304,617,259219,undefined,undefined
50,23,male,right,25,images/PICTURE_305.png,images/PICTURE_77.png,images/PICTURE_457.png,images/PICTURE_196.png,<div><img width = '150' height = '150' src = 'images/PICTURE_305.png'></img></div>,d,D,TRUE,55,3126,906,265323,undefined,undefined
50,23,male,right,26,images/PICTURE_240.png,images/PICTURE_428.png,images/PICTURE_371.png,images/PICTURE_93.png,<div><img width = '150' height = '150' src = 'images/PICTURE_371.png'></img></div>,j,J,TRUE,290,4002,533,272165,undefined,undefined
50,23,male,right,27,images/PICTURE_36.png,images/PICTURE_282.png,images/PICTURE_40.png,images/PICTURE_579.png,<div><img width = '150' height = '150' src = 'images/PICTURE_579.png'></img></div>,k,K,TRUE,228,3092,411,277913,undefined,undefined
50,23,male,right,28,images/PICTURE_485.png,images/PICTURE_223.png,images/PICTURE_734.png,images/PICTURE_90.png,<div><img width = '150' height = '150' src = 'images/PICTURE_223.png'></img></div>,d,F,FALSE,215,4235,566,284945,undefined,undefined
50,23,male,right,29,images/PICTURE_236.png,images/PICTURE_452.png,images/PICTURE_665.png,images/PICTURE_292.png,<div><img width = '150' height = '150' src = 'images/PICTURE_236.png'></img></div>,f,D,FALSE,331,2741,1203,291233,undefined,undefined
50,23,male,right,30,images/PICTURE_633.png,images/PICTURE_134.png,images/PICTURE_89.png,images/PICTURE_372.png,<div><img width = '150' height = '150' src = 'images/PICTURE_134.png'></img></div>,f,F,TRUE,236,5549,1187,300225,undefined,undefined
50,23,male,right,31,images/PICTURE_309.png,images/PICTURE_442.png,images/PICTURE_52.png,images/PICTURE_283.png,<div><img width = '150' height = '150' src = 'images/PICTURE_442.png'></img></div>,f,F,TRUE,255,2687,1126,306309,undefined,undefined
50,23,male,right,32,images/PICTURE_375.png,images/PICTURE_469.png,images/PICTURE_571.png,images/PICTURE_642.png,<div><img width = '150' height = '150' src = 'images/PICTURE_642.png'></img></div>,k,K,TRUE,82,3599,470,312478,undefined,undefined
50,23,male,right,33,images/PICTURE_568.png,images/PICTURE_363.png,images/PICTURE_681.png,images/PICTURE_605.png,<div><img width = '150' height = '150' src = 'images/PICTURE_363.png'></img></div>,f,F,TRUE,182,3094,957,318727,undefined,undefined
50,23,male,right,34,images/PICTURE_326.png,images/PICTURE_220.png,images/PICTURE_374.png,images/PICTURE_516.png,<div><img width = '150' height = '150' src = 'images/PICTURE_220.png'></img></div>,f,F,TRUE,108,2545,740,324142,undefined,undefined
50,23,male,right,35,images/PICTURE_32.png,images/PICTURE_256.png,images/PICTURE_235.png,images/PICTURE_15.png,<div><img width = '150' height = '150' src = 'images/PICTURE_15.png'></img></div>,k,K,TRUE,343,3418,347,330270,undefined,undefined
50,23,male,right,36,images/PICTURE_268.png,images/PICTURE_719.png,images/PICTURE_229.png,images/PICTURE_167.png,<div><img width = '150' height = '150' src = 'images/PICTURE_229.png'></img></div>,j,J,TRUE,227,3003,691,336209,undefined,undefined
50,23,male,right,37,images/PICTURE_392.png,images/PICTURE_373.png,images/PICTURE_687.png,images/PICTURE_400.png,<div><img width = '150' height = '150' src = 'images/PICTURE_392.png'></img></div>,f,D,FALSE,45,3268,878,342415,undefined,undefined
