participant, age, gender, handedness, block_number, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, resp
29,21,male,right,1,images/PICTURE_664.png,images/PICTURE_437.png,images/PICTURE_588.png,images/PICTURE_431.png,<div><img width = '150' height = '150' src = 'images/PICTURE_588.png'></img></div>,f,J,FALSE,752,6847,2380,162353,undefined,undefined
29,21,male,right,2,images/PICTURE_417.png,images/PICTURE_612.png,images/PICTURE_750.png,images/PICTURE_97.png,<div><img width = '150' height = '150' src = 'images/PICTURE_417.png'></img></div>,d,D,TRUE,1873,5783,843,172870,undefined,undefined
29,21,male,right,3,images/PICTURE_11.png,images/PICTURE_570.png,images/PICTURE_402.png,images/PICTURE_610.png,<div><img width = '150' height = '150' src = 'images/PICTURE_610.png'></img></div>,d,K,FALSE,464,5687,655,181705,undefined,undefined
29,21,male,right,4,images/PICTURE_378.png,images/PICTURE_398.png,images/PICTURE_391.png,images/PICTURE_268.png,<div><img width = '150' height = '150' src = 'images/PICTURE_398.png'></img></div>,f,F,TRUE,303,5561,708,190295,undefined,undefined
29,21,male,right,5,images/PICTURE_626.png,images/PICTURE_530.png,images/PICTURE_465.png,images/PICTURE_308.png,<div><img width = '150' height = '150' src = 'images/PICTURE_465.png'></img></div>,f,J,FALSE,1104,4161,792,198375,undefined,undefined
29,21,male,right,6,images/PICTURE_665.png,images/PICTURE_115.png,images/PICTURE_538.png,images/PICTURE_677.png,<div><img width = '150' height = '150' src = 'images/PICTURE_538.png'></img></div>,j,J,TRUE,1937,4331,937,207605,undefined,undefined
29,21,male,right,7,images/PICTURE_110.png,images/PICTURE_456.png,images/PICTURE_237.png,images/PICTURE_316.png,<div><img width = '150' height = '150' src = 'images/PICTURE_110.png'></img></div>,d,D,TRUE,513,4863,777,215779,undefined,undefined
29,21,male,right,8,images/PICTURE_266.png,images/PICTURE_597.png,images/PICTURE_695.png,images/PICTURE_79.png,<div><img width = '150' height = '150' src = 'images/PICTURE_597.png'></img></div>,f,F,TRUE,1379,3863,663,223705,undefined,undefined
29,21,male,right,9,images/PICTURE_346.png,images/PICTURE_387.png,images/PICTURE_90.png,images/PICTURE_178.png,<div><img width = '150' height = '150' src = 'images/PICTURE_178.png'></img></div>,k,K,TRUE,816,3244,1008,230792,undefined,undefined
29,21,male,right,10,images/PICTURE_32.png,images/PICTURE_325.png,images/PICTURE_697.png,images/PICTURE_414.png,<div><img width = '150' height = '150' src = 'images/PICTURE_414.png'></img></div>,k,K,TRUE,562,3129,849,237355,undefined,undefined
29,21,male,right,11,images/PICTURE_724.png,images/PICTURE_163.png,images/PICTURE_718.png,images/PICTURE_42.png,<div><img width = '150' height = '150' src = 'images/PICTURE_724.png'></img></div>,d,D,TRUE,393,3471,598,243849,undefined,undefined
29,21,male,right,12,images/PICTURE_374.png,images/PICTURE_36.png,images/PICTURE_536.png,images/PICTURE_429.png,<div><img width = '150' height = '150' src = 'images/PICTURE_374.png'></img></div>,d,D,TRUE,640,1915,631,249064,undefined,undefined
29,21,male,right,13,images/PICTURE_604.png,images/PICTURE_126.png,images/PICTURE_679.png,images/PICTURE_78.png,<div><img width = '150' height = '150' src = 'images/PICTURE_126.png'></img></div>,j,F,FALSE,972,2707,962,255735,undefined,undefined
29,21,male,right,14,images/PICTURE_426.png,images/PICTURE_93.png,images/PICTURE_566.png,images/PICTURE_179.png,<div><img width = '150' height = '150' src = 'images/PICTURE_93.png'></img></div>,j,F,FALSE,437,4977,885,264055,undefined,undefined
