participant, age, gender, handedness, block_number, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, resp
23,22,male,right,1,images/PICTURE_148.png,images/PICTURE_301.png,images/PICTURE_505.png,images/PICTURE_703.png,<div><img width = '150' height = '150' src = 'images/PICTURE_301.png'></img></div>,f,F,TRUE,2265,9721,1050,238980,undefined,undefined
23,22,male,right,2,images/PICTURE_72.png,images/PICTURE_142.png,images/PICTURE_275.png,images/PICTURE_53.png,<div><img width = '150' height = '150' src = 'images/PICTURE_275.png'></img></div>,j,J,TRUE,919,5277,476,247675,undefined,undefined
23,22,male,right,3,images/PICTURE_428.png,images/PICTURE_540.png,images/PICTURE_697.png,images/PICTURE_325.png,<div><img width = '150' height = '150' src = 'images/PICTURE_697.png'></img></div>,f,J,FALSE,699,4213,1030,255632,undefined,undefined
23,22,male,right,4,images/PICTURE_296.png,images/PICTURE_665.png,images/PICTURE_521.png,images/PICTURE_579.png,<div><img width = '150' height = '150' src = 'images/PICTURE_579.png'></img></div>,k,K,TRUE,439,6903,1400,266398,undefined,undefined
23,22,male,right,5,images/PICTURE_115.png,images/PICTURE_308.png,images/PICTURE_2.png,images/PICTURE_255.png,<div><img width = '150' height = '150' src = 'images/PICTURE_115.png'></img></div>,d,D,TRUE,542,4965,687,274612,undefined,undefined
23,22,male,right,6,images/PICTURE_202.png,images/PICTURE_429.png,images/PICTURE_18.png,images/PICTURE_566.png,<div><img width = '150' height = '150' src = 'images/PICTURE_566.png'></img></div>,k,K,TRUE,470,4536,832,282472,undefined,undefined
23,22,male,right,7,images/PICTURE_193.png,images/PICTURE_561.png,images/PICTURE_68.png,images/PICTURE_233.png,<div><img width = '150' height = '150' src = 'images/PICTURE_561.png'></img></div>,f,F,TRUE,445,2553,1146,288643,undefined,undefined
23,22,male,right,8,images/PICTURE_593.png,images/PICTURE_338.png,images/PICTURE_630.png,images/PICTURE_295.png,<div><img width = '150' height = '150' src = 'images/PICTURE_593.png'></img></div>,d,D,TRUE,457,4504,970,296597,undefined,undefined
23,22,male,right,9,images/PICTURE_400.png,images/PICTURE_695.png,images/PICTURE_189.png,images/PICTURE_385.png,<div><img width = '150' height = '150' src = 'images/PICTURE_189.png'></img></div>,j,J,TRUE,370,4374,1376,304739,undefined,undefined
23,22,male,right,10,images/PICTURE_76.png,images/PICTURE_196.png,images/PICTURE_402.png,images/PICTURE_614.png,<div><img width = '150' height = '150' src = 'images/PICTURE_614.png'></img></div>,k,K,TRUE,613,5715,504,313590,undefined,undefined
23,22,male,right,11,images/PICTURE_554.png,images/PICTURE_651.png,images/PICTURE_324.png,images/PICTURE_724.png,<div><img width = '150' height = '150' src = 'images/PICTURE_651.png'></img></div>,f,F,TRUE,5593,7054,2037,330295,undefined,undefined
23,22,male,right,12,images/PICTURE_744.png,images/PICTURE_62.png,images/PICTURE_592.png,images/PICTURE_392.png,<div><img width = '150' height = '150' src = 'images/PICTURE_62.png'></img></div>,f,F,TRUE,4641,2374,704,340035,undefined,undefined
23,22,male,right,13,images/PICTURE_360.png,images/PICTURE_711.png,images/PICTURE_285.png,images/PICTURE_588.png,<div><img width = '150' height = '150' src = 'images/PICTURE_588.png'></img></div>,k,K,TRUE,376,4092,492,347018,undefined,undefined
23,22,male,right,14,images/PICTURE_310.png,images/PICTURE_668.png,images/PICTURE_71.png,images/PICTURE_610.png,<div><img width = '150' height = '150' src = 'images/PICTURE_610.png'></img></div>,k,K,TRUE,566,4180,678,354460,undefined,undefined
23,22,male,right,15,images/PICTURE_97.png,images/PICTURE_469.png,images/PICTURE_383.png,images/PICTURE_626.png,<div><img width = '150' height = '150' src = 'images/PICTURE_469.png'></img></div>,f,F,TRUE,313,4195,1044,362032,undefined,undefined
23,22,male,right,16,images/PICTURE_568.png,images/PICTURE_154.png,images/PICTURE_220.png,images/PICTURE_273.png,<div><img width = '150' height = '150' src = 'images/PICTURE_568.png'></img></div>,d,D,TRUE,2854,4408,1085,372399,undefined,undefined
23,22,male,right,17,images/PICTURE_639.png,images/PICTURE_423.png,images/PICTURE_359.png,images/PICTURE_232.png,<div><img width = '150' height = '150' src = 'images/PICTURE_639.png'></img></div>,d,D,TRUE,375,3747,476,379015,undefined,undefined
