participant, age, gender, handedness, block_number, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, resp
24,28,male,right,1,images/PICTURE_90.png,images/PICTURE_683.png,images/PICTURE_142.png,images/PICTURE_614.png,<div><img width = '150' height = '150' src = 'images/PICTURE_683.png'></img></div>,d,F,FALSE,1060,7365,1174,137343,undefined,undefined
24,28,male,right,2,images/PICTURE_71.png,images/PICTURE_468.png,images/PICTURE_358.png,images/PICTURE_675.png,<div><img width = '150' height = '150' src = 'images/PICTURE_675.png'></img></div>,k,K,TRUE,958,5853,1353,147520,undefined,undefined
24,28,male,right,3,images/PICTURE_583.png,images/PICTURE_517.png,images/PICTURE_561.png,images/PICTURE_422.png,<div><img width = '150' height = '150' src = 'images/PICTURE_583.png'></img></div>,d,D,TRUE,612,6041,1136,157319,undefined,undefined
24,28,male,right,4,images/PICTURE_372.png,images/PICTURE_743.png,images/PICTURE_728.png,images/PICTURE_546.png,<div><img width = '150' height = '150' src = 'images/PICTURE_728.png'></img></div>,j,J,TRUE,468,8486,879,169167,undefined,undefined
24,28,male,right,5,images/PICTURE_194.png,images/PICTURE_282.png,images/PICTURE_692.png,images/PICTURE_391.png,<div><img width = '150' height = '150' src = 'images/PICTURE_692.png'></img></div>,j,J,TRUE,487,8543,777,180983,undefined,undefined
24,28,male,right,6,images/PICTURE_11.png,images/PICTURE_525.png,images/PICTURE_470.png,images/PICTURE_216.png,<div><img width = '150' height = '150' src = 'images/PICTURE_470.png'></img></div>,j,J,TRUE,26,4375,767,188169,undefined,undefined
24,28,male,right,7,images/PICTURE_488.png,images/PICTURE_295.png,images/PICTURE_37.png,images/PICTURE_68.png,<div><img width = '150' height = '150' src = 'images/PICTURE_68.png'></img></div>,k,K,TRUE,435,3398,1237,195256,undefined,undefined
24,28,male,right,8,images/PICTURE_338.png,images/PICTURE_684.png,images/PICTURE_57.png,images/PICTURE_116.png,<div><img width = '150' height = '150' src = 'images/PICTURE_338.png'></img></div>,d,D,TRUE,393,3971,557,202199,undefined,undefined
24,28,male,right,9,images/PICTURE_326.png,images/PICTURE_156.png,images/PICTURE_308.png,images/PICTURE_209.png,<div><img width = '150' height = '150' src = 'images/PICTURE_156.png'></img></div>,f,F,TRUE,317,15046,792,220367,undefined,undefined
24,28,male,right,10,images/PICTURE_653.png,images/PICTURE_162.png,images/PICTURE_647.png,images/PICTURE_388.png,<div><img width = '150' height = '150' src = 'images/PICTURE_388.png'></img></div>,k,K,TRUE,30,3190,1760,227359,undefined,undefined
24,28,male,right,11,images/PICTURE_573.png,images/PICTURE_356.png,images/PICTURE_635.png,images/PICTURE_433.png,<div><img width = '150' height = '150' src = 'images/PICTURE_433.png'></img></div>,d,K,FALSE,351,4900,614,235239,undefined,undefined
24,28,male,right,12,images/PICTURE_570.png,images/PICTURE_166.png,images/PICTURE_119.png,images/PICTURE_744.png,<div><img width = '150' height = '150' src = 'images/PICTURE_166.png'></img></div>,j,F,FALSE,488,17848,848,256438,undefined,undefined
24,28,male,right,13,images/PICTURE_640.png,images/PICTURE_302.png,images/PICTURE_88.png,images/PICTURE_597.png,<div><img width = '150' height = '150' src = 'images/PICTURE_302.png'></img></div>,f,F,TRUE,449,9206,760,268862,undefined,undefined
24,28,male,right,14,images/PICTURE_702.png,images/PICTURE_487.png,images/PICTURE_592.png,images/PICTURE_681.png,<div><img width = '150' height = '150' src = 'images/PICTURE_592.png'></img></div>,j,J,TRUE,543,7919,624,279958,undefined,undefined
24,28,male,right,15,images/PICTURE_605.png,images/PICTURE_489.png,images/PICTURE_437.png,images/PICTURE_663.png,<div><img width = '150' height = '150' src = 'images/PICTURE_605.png'></img></div>,d,D,TRUE,21214,28119,1528,332830,undefined,undefined
24,28,male,right,16,images/PICTURE_174.png,images/PICTURE_454.png,images/PICTURE_654.png,images/PICTURE_148.png,<div><img width = '150' height = '150' src = 'images/PICTURE_454.png'></img></div>,f,F,TRUE,359,4343,593,340134,undefined,undefined
24,28,male,right,17,images/PICTURE_363.png,images/PICTURE_651.png,images/PICTURE_715.png,images/PICTURE_92.png,<div><img width = '150' height = '150' src = 'images/PICTURE_715.png'></img></div>,j,J,TRUE,316,1945,682,345093,undefined,undefined
24,28,male,right,18,images/PICTURE_75.png,images/PICTURE_226.png,images/PICTURE_110.png,images/PICTURE_339.png,<div><img width = '150' height = '150' src = 'images/PICTURE_75.png'></img></div>,d,D,TRUE,276,3664,1006,352053,undefined,undefined
24,28,male,right,19,images/PICTURE_591.png,images/PICTURE_590.png,images/PICTURE_639.png,images/PICTURE_200.png,<div><img width = '150' height = '150' src = 'images/PICTURE_200.png'></img></div>,k,K,TRUE,102303,4293,449,461109,undefined,undefined
24,28,male,right,20,images/PICTURE_467.png,images/PICTURE_419.png,images/PICTURE_193.png,images/PICTURE_523.png,<div><img width = '150' height = '150' src = 'images/PICTURE_193.png'></img></div>,j,J,TRUE,474,40418,944,504957,undefined,undefined
24,28,male,right,21,images/PICTURE_615.png,images/PICTURE_374.png,images/PICTURE_315.png,images/PICTURE_627.png,<div><img width = '150' height = '150' src = 'images/PICTURE_615.png'></img></div>,d,D,TRUE,514,3542,772,511797,undefined,undefined
24,28,male,right,22,images/PICTURE_375.png,images/PICTURE_707.png,images/PICTURE_398.png,images/PICTURE_123.png,<div><img width = '150' height = '150' src = 'images/PICTURE_123.png'></img></div>,k,K,TRUE,319,1823,426,516373,undefined,undefined
24,28,male,right,23,images/PICTURE_558.png,images/PICTURE_97.png,images/PICTURE_588.png,images/PICTURE_745.png,<div><img width = '150' height = '150' src = 'images/PICTURE_588.png'></img></div>,j,J,TRUE,215,4389,506,523493,undefined,undefined
24,28,male,right,24,images/PICTURE_637.png,images/PICTURE_699.png,images/PICTURE_734.png,images/PICTURE_417.png,<div><img width = '150' height = '150' src = 'images/PICTURE_734.png'></img></div>,j,J,TRUE,322,7367,433,533629,undefined,undefined
24,28,male,right,25,images/PICTURE_234.png,images/PICTURE_534.png,images/PICTURE_380.png,images/PICTURE_197.png,<div><img width = '150' height = '150' src = 'images/PICTURE_197.png'></img></div>,k,K,TRUE,375,4023,679,540717,undefined,undefined
24,28,male,right,26,images/PICTURE_310.png,images/PICTURE_697.png,images/PICTURE_649.png,images/PICTURE_244.png,<div><img width = '150' height = '150' src = 'images/PICTURE_697.png'></img></div>,f,F,TRUE,303,4543,482,548053,undefined,undefined
24,28,male,right,27,images/PICTURE_151.png,images/PICTURE_416.png,images/PICTURE_679.png,images/PICTURE_278.png,<div><img width = '150' height = '150' src = 'images/PICTURE_151.png'></img></div>,d,D,TRUE,159,2855,746,553821,undefined,undefined
24,28,male,right,28,images/PICTURE_190.png,images/PICTURE_346.png,images/PICTURE_3.png,images/PICTURE_677.png,<div><img width = '150' height = '150' src = 'images/PICTURE_190.png'></img></div>,d,D,TRUE,224,3438,898,560389,undefined,undefined
24,28,male,right,29,images/PICTURE_541.png,images/PICTURE_7.png,images/PICTURE_361.png,images/PICTURE_527.png,<div><img width = '150' height = '150' src = 'images/PICTURE_7.png'></img></div>,f,F,TRUE,389,9975,1241,574005,undefined,undefined
24,28,male,right,30,images/PICTURE_426.png,images/PICTURE_26.png,images/PICTURE_324.png,images/PICTURE_509.png,<div><img width = '150' height = '150' src = 'images/PICTURE_509.png'></img></div>,k,K,TRUE,253,17024,768,594061,undefined,undefined
24,28,male,right,31,images/PICTURE_19.png,images/PICTURE_69.png,images/PICTURE_384.png,images/PICTURE_85.png,<div><img width = '150' height = '150' src = 'images/PICTURE_69.png'></img></div>,f,F,TRUE,270,2518,601,599461,undefined,undefined
24,28,male,right,32,images/PICTURE_99.png,images/PICTURE_435.png,images/PICTURE_89.png,images/PICTURE_80.png,<div><img width = '150' height = '150' src = 'images/PICTURE_435.png'></img></div>,j,F,FALSE,181,3719,1024,606397,undefined,undefined
24,28,male,right,33,images/PICTURE_343.png,images/PICTURE_333.png,images/PICTURE_36.png,images/PICTURE_1.png,<div><img width = '150' height = '150' src = 'images/PICTURE_343.png'></img></div>,d,D,TRUE,90,3415,1065,612989,undefined,undefined
24,28,male,right,34,images/PICTURE_340.png,images/PICTURE_482.png,images/PICTURE_721.png,images/PICTURE_585.png,<div><img width = '150' height = '150' src = 'images/PICTURE_585.png'></img></div>,k,K,TRUE,302,1509,455,617269,undefined,undefined
24,28,male,right,35,images/PICTURE_584.png,images/PICTURE_266.png,images/PICTURE_168.png,images/PICTURE_634.png,<div><img width = '150' height = '150' src = 'images/PICTURE_584.png'></img></div>,d,D,TRUE,296,1718,1049,622349,undefined,undefined
24,28,male,right,36,images/PICTURE_611.png,images/PICTURE_626.png,images/PICTURE_719.png,images/PICTURE_402.png,<div><img width = '150' height = '150' src = 'images/PICTURE_402.png'></img></div>,k,K,TRUE,313,1499,569,626741,undefined,undefined
24,28,male,right,37,images/PICTURE_648.png,images/PICTURE_733.png,images/PICTURE_281.png,images/PICTURE_154.png,<div><img width = '150' height = '150' src = 'images/PICTURE_281.png'></img></div>,j,J,TRUE,269,1735,721,631477,undefined,undefined
24,28,male,right,38,images/PICTURE_318.png,images/PICTURE_566.png,images/PICTURE_446.png,images/PICTURE_292.png,<div><img width = '150' height = '150' src = 'images/PICTURE_566.png'></img></div>,f,F,TRUE,102,1295,999,635885,undefined,undefined
24,28,male,right,39,images/PICTURE_551.png,images/PICTURE_192.png,images/PICTURE_122.png,images/PICTURE_202.png,<div><img width = '150' height = '150' src = 'images/PICTURE_122.png'></img></div>,j,J,TRUE,240,1141,600,639877,undefined,undefined
24,28,male,right,40,images/PICTURE_78.png,images/PICTURE_115.png,images/PICTURE_501.png,images/PICTURE_256.png,<div><img width = '150' height = '150' src = 'images/PICTURE_115.png'></img></div>,f,F,TRUE,302,1183,719,644092,undefined,undefined
24,28,male,right,41,images/PICTURE_45.png,images/PICTURE_490.png,images/PICTURE_638.png,images/PICTURE_52.png,<div><img width = '150' height = '150' src = 'images/PICTURE_52.png'></img></div>,k,K,TRUE,255,1846,649,648853,undefined,undefined
24,28,male,right,42,images/PICTURE_59.png,images/PICTURE_23.png,images/PICTURE_385.png,images/PICTURE_475.png,<div><img width = '150' height = '150' src = 'images/PICTURE_23.png'></img></div>,f,F,TRUE,757,2771,518,654909,undefined,undefined
24,28,male,right,43,images/PICTURE_423.png,images/PICTURE_215.png,images/PICTURE_612.png,images/PICTURE_63.png,<div><img width = '150' height = '150' src = 'images/PICTURE_215.png'></img></div>,f,F,TRUE,420,3320,568,661229,undefined,undefined
24,28,male,right,44,images/PICTURE_232.png,images/PICTURE_549.png,images/PICTURE_547.png,images/PICTURE_370.png,<div><img width = '150' height = '150' src = 'images/PICTURE_549.png'></img></div>,j,F,FALSE,219,1734,673,665868,undefined,undefined
24,28,male,right,45,images/PICTURE_500.png,images/PICTURE_321.png,images/PICTURE_160.png,images/PICTURE_369.png,<div><img width = '150' height = '150' src = 'images/PICTURE_321.png'></img></div>,f,F,TRUE,384,1542,538,670341,undefined,undefined
24,28,male,right,46,images/PICTURE_722.png,images/PICTURE_554.png,images/PICTURE_141.png,images/PICTURE_394.png,<div><img width = '150' height = '150' src = 'images/PICTURE_394.png'></img></div>,k,K,TRUE,203,1082,406,674046,undefined,undefined
24,28,male,right,47,images/PICTURE_152.png,images/PICTURE_220.png,images/PICTURE_442.png,images/PICTURE_718.png,<div><img width = '150' height = '150' src = 'images/PICTURE_152.png'></img></div>,d,D,TRUE,324,1128,942,678452,undefined,undefined
24,28,male,right,48,images/PICTURE_659.png,images/PICTURE_24.png,images/PICTURE_300.png,images/PICTURE_38.png,<div><img width = '150' height = '150' src = 'images/PICTURE_659.png'></img></div>,d,D,TRUE,117,1341,857,682781,undefined,undefined
24,28,male,right,49,images/PICTURE_479.png,images/PICTURE_458.png,images/PICTURE_655.png,images/PICTURE_229.png,<div><img width = '150' height = '150' src = 'images/PICTURE_229.png'></img></div>,k,K,TRUE,150,2455,441,687837,undefined,undefined
24,28,male,right,50,images/PICTURE_353.png,images/PICTURE_255.png,images/PICTURE_204.png,images/PICTURE_179.png,<div><img width = '150' height = '150' src = 'images/PICTURE_255.png'></img></div>,j,F,FALSE,407,902,710,691877,undefined,undefined
24,28,male,right,51,images/PICTURE_528.png,images/PICTURE_750.png,images/PICTURE_126.png,images/PICTURE_155.png,<div><img width = '150' height = '150' src = 'images/PICTURE_126.png'></img></div>,j,J,TRUE,439,1684,657,696668,undefined,undefined
24,28,male,right,52,images/PICTURE_716.png,images/PICTURE_598.png,images/PICTURE_33.png,images/PICTURE_42.png,<div><img width = '150' height = '150' src = 'images/PICTURE_42.png'></img></div>,k,K,TRUE,382,2967,527,702556,undefined,undefined
24,28,male,right,53,images/PICTURE_335.png,images/PICTURE_452.png,images/PICTURE_164.png,images/PICTURE_133.png,<div><img width = '150' height = '150' src = 'images/PICTURE_133.png'></img></div>,k,K,TRUE,312,1167,584,706628,undefined,undefined
24,28,male,right,54,images/PICTURE_568.png,images/PICTURE_76.png,images/PICTURE_327.png,images/PICTURE_485.png,<div><img width = '150' height = '150' src = 'images/PICTURE_76.png'></img></div>,f,F,TRUE,334,2015,409,711396,undefined,undefined
24,28,male,right,55,images/PICTURE_457.png,images/PICTURE_237.png,images/PICTURE_183.png,images/PICTURE_96.png,<div><img width = '150' height = '150' src = 'images/PICTURE_183.png'></img></div>,j,J,TRUE,442,4738,368,718956,undefined,undefined
24,28,male,right,56,images/PICTURE_120.png,images/PICTURE_77.png,images/PICTURE_673.png,images/PICTURE_306.png,<div><img width = '150' height = '150' src = 'images/PICTURE_120.png'></img></div>,d,D,TRUE,272,2174,824,724236,undefined,undefined
24,28,male,right,57,images/PICTURE_727.png,images/PICTURE_560.png,images/PICTURE_456.png,images/PICTURE_364.png,<div><img width = '150' height = '150' src = 'images/PICTURE_727.png'></img></div>,d,D,TRUE,334,1871,465,728916,undefined,undefined
24,28,male,right,58,images/PICTURE_672.png,images/PICTURE_341.png,images/PICTURE_176.png,images/PICTURE_418.png,<div><img width = '150' height = '150' src = 'images/PICTURE_176.png'></img></div>,j,J,TRUE,567,2655,641,734788,undefined,undefined
24,28,male,right,59,images/PICTURE_521.png,images/PICTURE_565.png,images/PICTURE_167.png,images/PICTURE_258.png,<div><img width = '150' height = '150' src = 'images/PICTURE_167.png'></img></div>,j,J,TRUE,287,1055,568,738708,undefined,undefined
24,28,male,right,60,images/PICTURE_429.png,images/PICTURE_395.png,images/PICTURE_720.png,images/PICTURE_203.png,<div><img width = '150' height = '150' src = 'images/PICTURE_429.png'></img></div>,d,D,TRUE,117,1263,777,742877,undefined,undefined
24,28,male,right,61,images/PICTURE_15.png,images/PICTURE_735.png,images/PICTURE_275.png,images/PICTURE_530.png,<div><img width = '150' height = '150' src = 'images/PICTURE_15.png'></img></div>,d,D,TRUE,307,1447,505,747148,undefined,undefined
