participant, age, gender, handedness, block_number, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, resp
15,23,male,right,1,images/PICTURE_654.png,images/PICTURE_67.png,images/PICTURE_489.png,images/PICTURE_310.png,<div><img width = '150' height = '150' src = 'images/PICTURE_654.png'></img></div>,f,D,FALSE,5520,29247,2290,363343,undefined,undefined
15,23,male,right,2,images/PICTURE_681.png,images/PICTURE_615.png,images/PICTURE_203.png,images/PICTURE_78.png,<div><img width = '150' height = '150' src = 'images/PICTURE_203.png'></img></div>,f,J,FALSE,1993,9625,898,377874,undefined,undefined
15,23,male,right,3,images/PICTURE_32.png,images/PICTURE_613.png,images/PICTURE_390.png,images/PICTURE_40.png,<div><img width = '150' height = '150' src = 'images/PICTURE_32.png'></img></div>,d,D,TRUE,861,9585,1762,392092,undefined,undefined
15,23,male,right,4,images/PICTURE_662.png,images/PICTURE_271.png,images/PICTURE_395.png,images/PICTURE_26.png,<div><img width = '150' height = '150' src = 'images/PICTURE_26.png'></img></div>,k,K,TRUE,916,8567,5282,408872,undefined,undefined
15,23,male,right,5,images/PICTURE_475.png,images/PICTURE_400.png,images/PICTURE_10.png,images/PICTURE_606.png,<div><img width = '150' height = '150' src = 'images/PICTURE_10.png'></img></div>,j,J,TRUE,2221,7106,1613,421824,undefined,undefined
15,23,male,right,6,images/PICTURE_1.png,images/PICTURE_283.png,images/PICTURE_369.png,images/PICTURE_560.png,<div><img width = '150' height = '150' src = 'images/PICTURE_1.png'></img></div>,d,D,TRUE,1215,4113,942,430106,undefined,undefined
15,23,male,right,7,images/PICTURE_633.png,images/PICTURE_673.png,images/PICTURE_11.png,images/PICTURE_223.png,<div><img width = '150' height = '150' src = 'images/PICTURE_673.png'></img></div>,f,F,TRUE,687,3580,904,437288,undefined,undefined
15,23,male,right,8,images/PICTURE_258.png,images/PICTURE_388.png,images/PICTURE_201.png,images/PICTURE_304.png,<div><img width = '150' height = '150' src = 'images/PICTURE_304.png'></img></div>,k,K,TRUE,822,3123,1263,444507,undefined,undefined
15,23,male,right,9,images/PICTURE_425.png,images/PICTURE_229.png,images/PICTURE_614.png,images/PICTURE_233.png,<div><img width = '150' height = '150' src = 'images/PICTURE_233.png'></img></div>,k,K,TRUE,2001,3676,2222,454418,undefined,undefined
15,23,male,right,10,images/PICTURE_97.png,images/PICTURE_318.png,images/PICTURE_33.png,images/PICTURE_547.png,<div><img width = '150' height = '150' src = 'images/PICTURE_33.png'></img></div>,j,J,TRUE,2096,3199,1371,463098,undefined,undefined
15,23,male,right,11,images/PICTURE_373.png,images/PICTURE_237.png,images/PICTURE_721.png,images/PICTURE_677.png,<div><img width = '150' height = '150' src = 'images/PICTURE_373.png'></img></div>,d,D,TRUE,710,6213,529,472564,undefined,undefined
15,23,male,right,12,images/PICTURE_452.png,images/PICTURE_583.png,images/PICTURE_215.png,images/PICTURE_179.png,<div><img width = '150' height = '150' src = 'images/PICTURE_215.png'></img></div>,j,J,TRUE,24,2882,1029,478510,undefined,undefined
15,23,male,right,13,images/PICTURE_474.png,images/PICTURE_85.png,images/PICTURE_275.png,images/PICTURE_224.png,<div><img width = '150' height = '150' src = 'images/PICTURE_275.png'></img></div>,j,J,TRUE,684,2780,832,484819,undefined,undefined
15,23,male,right,14,images/PICTURE_240.png,images/PICTURE_52.png,images/PICTURE_321.png,images/PICTURE_46.png,<div><img width = '150' height = '150' src = 'images/PICTURE_240.png'></img></div>,d,D,TRUE,1637,6183,980,495634,undefined,undefined
15,23,male,right,15,images/PICTURE_368.png,images/PICTURE_410.png,images/PICTURE_2.png,images/PICTURE_152.png,<div><img width = '150' height = '150' src = 'images/PICTURE_410.png'></img></div>,f,F,TRUE,729,3553,1035,502964,undefined,undefined
