prolific_ID, age, gender, handedness, imageletter_con, block_number, block_type, letter_block, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, qnumber, resp
11,21,male,right,order_25_75,1,25,1,images/PICTURE_611.png,images/PICTURE_10.png,images/PICTURE_474.png,images/PICTURE_477.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_477.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">K</div></a></div>,k,K,true,1862,13222,4319,248772,undefined,undefined,undefined
11,21,male,right,order_25_75,2,25,1,images/PICTURE_211.png,images/PICTURE_372.png,images/PICTURE_219.png,images/PICTURE_485.png,<div id="images"><a><img src="images/PICTURE_211.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">D</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,d,D,true,4405,8941,1226,265363,undefined,undefined,undefined
11,21,male,right,order_25_75,3,25,0,images/PICTURE_249.png,images/PICTURE_598.png,images/PICTURE_661.png,images/PICTURE_267.png,<div><img width = '150' height = '150' src = 'images/PICTURE_598.png'></img></div>,j,F,false,734,4545,1940,274595,undefined,undefined,undefined
11,21,male,right,order_25_75,4,25,0,images/PICTURE_108.png,images/PICTURE_653.png,images/PICTURE_177.png,images/PICTURE_419.png,<div><img width = '150' height = '150' src = 'images/PICTURE_177.png'></img></div>,j,J,true,1484,4925,1429,284452,undefined,undefined,undefined
11,21,male,right,order_25_75,5,25,0,images/PICTURE_259.png,images/PICTURE_529.png,images/PICTURE_79.png,images/PICTURE_358.png,<div><img width = '150' height = '150' src = 'images/PICTURE_259.png'></img></div>,d,D,true,520,2374,706,290065,undefined,undefined,undefined
11,21,male,right,order_25_75,6,25,1,images/PICTURE_606.png,images/PICTURE_410.png,images/PICTURE_292.png,images/PICTURE_498.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_410.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">F</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,f,F,true,394,2981,944,296402,undefined,undefined,undefined
11,21,male,right,order_25_75,7,25,1,images/PICTURE_654.png,images/PICTURE_445.png,images/PICTURE_111.png,images/PICTURE_228.png,<div id="images"><a><img src="images/PICTURE_654.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">D</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,d,D,true,461,3552,591,303018,undefined,undefined,undefined
11,21,male,right,order_25_75,8,25,1,images/PICTURE_261.png,images/PICTURE_405.png,images/PICTURE_168.png,images/PICTURE_552.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_552.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">K</div></a></div>,k,K,true,414,3325,577,309356,undefined,undefined,undefined
11,21,male,right,order_25_75,9,25,1,images/PICTURE_563.png,images/PICTURE_368.png,images/PICTURE_718.png,images/PICTURE_99.png,<div id="images"><a><img src="images/PICTURE_563.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">D</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,d,D,true,400,4958,392,317122,undefined,undefined,undefined
11,21,male,right,order_25_75,10,25,1,images/PICTURE_670.png,images/PICTURE_196.png,images/PICTURE_692.png,images/PICTURE_628.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_628.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">K</div></a></div>,k,K,true,425,3471,476,323503,undefined,undefined,undefined
