prolific_ID, age, gender, handedness, imageletter_con, block_number, block_type, letter_block, stim1, stim2, stim3, stim4, stimulus, stimulus_html, image_position, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, qnumber, resp
96,27,female,right,order_75_25,1,75,0,images/PICTURE_319.png,images/PICTURE_485.png,images/PICTURE_223.png,images/PICTURE_586.png,images/PICTURE_485.png,<div><img width = '150' height = '150' src = 'images/PICTURE_485.png'></img></div>,1,f,F,true,1335,7391,1664,149347,undefined,undefined,undefined
96,27,female,right,order_75_25,2,75,0,images/PICTURE_562.png,images/PICTURE_568.png,images/PICTURE_565.png,images/PICTURE_599.png,images/PICTURE_562.png,<div><img width = '150' height = '150' src = 'images/PICTURE_562.png'></img></div>,0,f,D,false,1181,4047,1057,157668,undefined,undefined,undefined
96,27,female,right,order_75_25,3,75,0,images/PICTURE_470.png,images/PICTURE_209.png,images/PICTURE_405.png,images/PICTURE_642.png,images/PICTURE_209.png,<div><img width = '150' height = '150' src = 'images/PICTURE_209.png'></img></div>,1,f,F,true,521,5013,1006,166245,undefined,undefined,undefined
96,27,female,right,order_75_25,4,75,0,images/PICTURE_174.png,images/PICTURE_478.png,images/PICTURE_604.png,images/PICTURE_310.png,images/PICTURE_310.png,<div><img width = '150' height = '150' src = 'images/PICTURE_310.png'></img></div>,3,j,K,false,400,4322,2021,175020,undefined,undefined,undefined
96,27,female,right,order_75_25,5,75,1,images/PICTURE_124.png,images/PICTURE_692.png,images/PICTURE_332.png,images/PICTURE_369.png,images/PICTURE_332.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_124.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">J</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,0,j,J,true,708,4901,1683,184373,undefined,undefined,undefined
96,27,female,right,order_75_25,6,75,0,images/PICTURE_298.png,images/PICTURE_559.png,images/PICTURE_482.png,images/PICTURE_305.png,images/PICTURE_298.png,<div><img width = '150' height = '150' src = 'images/PICTURE_298.png'></img></div>,0,d,D,true,495,3593,662,191171,undefined,undefined,undefined
96,27,female,right,order_75_25,7,75,1,images/PICTURE_356.png,images/PICTURE_406.png,images/PICTURE_339.png,images/PICTURE_630.png,images/PICTURE_339.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_630.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">J</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,3,j,J,true,668,4482,1073,199432,undefined,undefined,undefined
96,27,female,right,order_75_25,8,75,0,images/PICTURE_370.png,images/PICTURE_232.png,images/PICTURE_361.png,images/PICTURE_615.png,images/PICTURE_615.png,<div><img width = '150' height = '150' src = 'images/PICTURE_615.png'></img></div>,3,k,K,true,760,3922,1921,208082,undefined,undefined,undefined
96,27,female,right,order_75_25,9,75,1,images/PICTURE_110.png,images/PICTURE_292.png,images/PICTURE_255.png,images/PICTURE_345.png,images/PICTURE_345.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_255.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">K</div></a></div>,2,k,K,true,398,4241,1684,216435,undefined,undefined,undefined
96,27,female,right,order_75_25,10,75,1,images/PICTURE_283.png,images/PICTURE_725.png,images/PICTURE_172.png,images/PICTURE_409.png,images/PICTURE_409.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_725.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">K</div></a></div>,1,k,K,true,747,5281,889,225391,undefined,undefined,undefined
96,27,female,right,order_75_25,11,75,1,images/PICTURE_259.png,images/PICTURE_665.png,images/PICTURE_750.png,images/PICTURE_314.png,images/PICTURE_665.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_314.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">F</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,3,f,F,true,484,5965,649,234530,undefined,undefined,undefined
96,27,female,right,order_75_25,12,75,0,images/PICTURE_635.png,images/PICTURE_416.png,images/PICTURE_74.png,images/PICTURE_531.png,images/PICTURE_74.png,<div><img width = '150' height = '150' src = 'images/PICTURE_74.png'></img></div>,2,j,J,true,547,2793,962,240894,undefined,undefined,undefined
