prolific_ID, age, gender, handedness, imageletter_con, block_number, block_type, letter_block, stim1, stim2, stim3, stim4, stimulus, stimulus_html, image_position, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, qnumber, resp
70,20,male,right,order_75_25,1,75,1,images/PICTURE_537.png,images/PICTURE_568.png,images/PICTURE_596.png,images/PICTURE_185.png,images/PICTURE_568.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_185.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">F</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,3,k,F,false,1368,11395,2360,158599,undefined,undefined,undefined
70,20,male,right,order_75_25,2,75,1,images/PICTURE_345.png,images/PICTURE_88.png,images/PICTURE_275.png,images/PICTURE_114.png,images/PICTURE_114.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_275.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">K</div></a></div>,2,f,K,false,1054,28063,2197,191924,undefined,undefined,undefined
70,20,male,right,order_75_25,3,75,0,images/PICTURE_586.png,images/PICTURE_505.png,images/PICTURE_599.png,images/PICTURE_528.png,images/PICTURE_599.png,<div><img width = '150' height = '150' src = 'images/PICTURE_599.png'></img></div>,2,j,J,true,1745,9426,2599,207706,undefined,undefined,undefined
70,20,male,right,order_75_25,4,75,0,images/PICTURE_177.png,images/PICTURE_703.png,images/PICTURE_348.png,images/PICTURE_417.png,images/PICTURE_417.png,<div><img width = '150' height = '150' src = 'images/PICTURE_417.png'></img></div>,3,k,K,true,974,14705,930,226326,undefined,undefined,undefined
70,20,male,right,order_75_25,5,75,0,images/PICTURE_362.png,images/PICTURE_498.png,images/PICTURE_566.png,images/PICTURE_647.png,images/PICTURE_498.png,<div><img width = '150' height = '150' src = 'images/PICTURE_498.png'></img></div>,1,d,F,false,504,14035,638,243512,undefined,undefined,undefined
70,20,male,right,order_75_25,6,75,0,images/PICTURE_699.png,images/PICTURE_334.png,images/PICTURE_75.png,images/PICTURE_627.png,images/PICTURE_699.png,<div><img width = '150' height = '150' src = 'images/PICTURE_699.png'></img></div>,0,d,D,true,765,14470,585,261343,undefined,undefined,undefined
70,20,male,right,order_75_25,7,75,0,images/PICTURE_479.png,images/PICTURE_721.png,images/PICTURE_672.png,images/PICTURE_618.png,images/PICTURE_721.png,<div><img width = '150' height = '150' src = 'images/PICTURE_721.png'></img></div>,1,f,F,true,471,10476,827,275127,undefined,undefined,undefined
70,20,male,right,order_75_25,8,75,0,images/PICTURE_59.png,images/PICTURE_584.png,images/PICTURE_38.png,images/PICTURE_142.png,images/PICTURE_38.png,<div><img width = '150' height = '150' src = 'images/PICTURE_38.png'></img></div>,2,j,J,true,374,5674,664,283849,undefined,undefined,undefined
70,20,male,right,order_75_25,9,75,1,images/PICTURE_558.png,images/PICTURE_606.png,images/PICTURE_190.png,images/PICTURE_571.png,images/PICTURE_558.png,<div id="images"><a><img src="images/PICTURE_571.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">D</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,3,d,D,true,346,4344,1198,291748,undefined,undefined,undefined
70,20,male,right,order_75_25,10,75,1,images/PICTURE_201.png,images/PICTURE_276.png,images/PICTURE_341.png,images/PICTURE_14.png,images/PICTURE_276.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_341.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">F</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,2,f,F,true,525,4593,846,299722,undefined,undefined,undefined
70,20,male,right,order_75_25,11,75,0,images/PICTURE_689.png,images/PICTURE_12.png,images/PICTURE_344.png,images/PICTURE_531.png,images/PICTURE_12.png,<div><img width = '150' height = '150' src = 'images/PICTURE_12.png'></img></div>,1,f,F,true,739,7714,685,310873,undefined,undefined,undefined
70,20,male,right,order_75_25,12,75,0,images/PICTURE_101.png,images/PICTURE_318.png,images/PICTURE_397.png,images/PICTURE_720.png,images/PICTURE_318.png,<div><img width = '150' height = '150' src = 'images/PICTURE_318.png'></img></div>,1,f,F,true,486,8165,1219,322753,undefined,undefined,undefined
70,20,male,right,order_75_25,13,75,0,images/PICTURE_234.png,images/PICTURE_692.png,images/PICTURE_452.png,images/PICTURE_117.png,images/PICTURE_117.png,<div><img width = '150' height = '150' src = 'images/PICTURE_117.png'></img></div>,3,k,K,true,578,11007,795,337144,undefined,undefined,undefined
