prolific_ID, age, gender, handedness, imageletter_con, block_number, block_type, letter_block, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, qnumber, resp
60,19,male,right,order_75_25,1,75,0,images/PICTURE_380.png,images/PICTURE_615.png,images/PICTURE_715.png,images/PICTURE_587.png,<div><img width = '150' height = '150' src = 'images/PICTURE_715.png'></img></div>,f,J,false,1350,19033,1155,215506,undefined,undefined,undefined
60,19,male,right,order_75_25,2,75,0,images/PICTURE_670.png,images/PICTURE_568.png,images/PICTURE_645.png,images/PICTURE_372.png,<div><img width = '150' height = '150' src = 'images/PICTURE_568.png'></img></div>,f,F,true,3817,9885,1314,232542,undefined,undefined,undefined
60,19,male,right,order_75_25,3,75,0,images/PICTURE_199.png,images/PICTURE_168.png,images/PICTURE_689.png,images/PICTURE_333.png,<div><img width = '150' height = '150' src = 'images/PICTURE_199.png'></img></div>,d,D,true,676,11250,552,247040,undefined,undefined,undefined
60,19,male,right,order_75_25,4,75,0,images/PICTURE_268.png,images/PICTURE_45.png,images/PICTURE_535.png,images/PICTURE_249.png,<div><img width = '150' height = '150' src = 'images/PICTURE_535.png'></img></div>,j,J,true,639,3922,450,254066,undefined,undefined,undefined
60,19,male,right,order_75_25,5,75,0,images/PICTURE_590.png,images/PICTURE_439.png,images/PICTURE_238.png,images/PICTURE_292.png,<div><img width = '150' height = '150' src = 'images/PICTURE_292.png'></img></div>,k,K,true,516,4469,477,261546,undefined,undefined,undefined
60,19,male,right,order_75_25,6,75,0,images/PICTURE_324.png,images/PICTURE_52.png,images/PICTURE_200.png,images/PICTURE_489.png,<div><img width = '150' height = '150' src = 'images/PICTURE_324.png'></img></div>,d,D,true,402,3414,644,268024,undefined,undefined,undefined
60,19,male,right,order_75_25,7,75,0,images/PICTURE_77.png,images/PICTURE_262.png,images/PICTURE_252.png,images/PICTURE_653.png,<div><img width = '150' height = '150' src = 'images/PICTURE_77.png'></img></div>,d,D,true,467,4233,468,275214,undefined,undefined,undefined
60,19,male,right,order_75_25,8,75,0,images/PICTURE_179.png,images/PICTURE_43.png,images/PICTURE_521.png,images/PICTURE_137.png,<div><img width = '150' height = '150' src = 'images/PICTURE_137.png'></img></div>,k,K,true,346,5554,380,283512,undefined,undefined,undefined
60,19,male,right,order_75_25,9,75,0,images/PICTURE_14.png,images/PICTURE_357.png,images/PICTURE_164.png,images/PICTURE_111.png,<div><img width = '150' height = '150' src = 'images/PICTURE_14.png'></img></div>,d,D,true,324,5474,515,291841,undefined,undefined,undefined
60,19,male,right,order_75_25,10,75,0,images/PICTURE_336.png,images/PICTURE_558.png,images/PICTURE_78.png,images/PICTURE_339.png,<div><img width = '150' height = '150' src = 'images/PICTURE_558.png'></img></div>,f,F,true,462,5162,392,299874,undefined,undefined,undefined
