prolific_ID, age, gender, handedness, imageletter_con, block_number, block_type, letter_block, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, qnumber, resp
28,25,female,left,order_25_75,1,25,1,images/PICTURE_645.png,images/PICTURE_468.png,images/PICTURE_604.png,images/PICTURE_356.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_356.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">K</div></a></div>,f,K,false,1363,12783,5973,117194,undefined,undefined,undefined
28,25,female,left,order_25_75,2,25,1,images/PICTURE_478.png,images/PICTURE_25.png,images/PICTURE_562.png,images/PICTURE_324.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_25.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">F</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,d,F,false,1317,4830,6950,132312,undefined,undefined,undefined
28,25,female,left,order_25_75,3,25,1,images/PICTURE_123.png,images/PICTURE_286.png,images/PICTURE_59.png,images/PICTURE_77.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_77.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">K</div></a></div>,f,K,false,1817,2229,2074,140452,undefined,undefined,undefined
28,25,female,left,order_25_75,4,25,1,images/PICTURE_516.png,images/PICTURE_275.png,images/PICTURE_115.png,images/PICTURE_689.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_275.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">F</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,f,F,true,1138,1539,912,146059,undefined,undefined,undefined
28,25,female,left,order_25_75,5,25,0,images/PICTURE_179.png,images/PICTURE_489.png,images/PICTURE_273.png,images/PICTURE_98.png,<div><img width = '150' height = '150' src = 'images/PICTURE_273.png'></img></div>,f,J,false,384,6659,1650,156770,undefined,undefined,undefined
28,25,female,left,order_25_75,6,25,0,images/PICTURE_653.png,images/PICTURE_311.png,images/PICTURE_587.png,images/PICTURE_655.png,<div><img width = '150' height = '150' src = 'images/PICTURE_587.png'></img></div>,j,J,true,571,4963,2104,166427,undefined,undefined,undefined
28,25,female,left,order_25_75,7,25,0,images/PICTURE_536.png,images/PICTURE_556.png,images/PICTURE_365.png,images/PICTURE_304.png,<div><img width = '150' height = '150' src = 'images/PICTURE_536.png'></img></div>,d,D,true,26,3021,1535,173060,undefined,undefined,undefined
28,25,female,left,order_25_75,8,25,0,images/PICTURE_369.png,images/PICTURE_349.png,images/PICTURE_525.png,images/PICTURE_722.png,<div><img width = '150' height = '150' src = 'images/PICTURE_349.png'></img></div>,f,F,true,363,6580,1101,183124,undefined,undefined,undefined
28,25,female,left,order_25_75,9,25,1,images/PICTURE_138.png,images/PICTURE_670.png,images/PICTURE_216.png,images/PICTURE_474.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_474.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">K</div></a></div>,k,K,true,348,3844,626,189960,undefined,undefined,undefined
28,25,female,left,order_25_75,10,25,1,images/PICTURE_10.png,images/PICTURE_190.png,images/PICTURE_735.png,images/PICTURE_414.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_735.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">J</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,j,J,true,388,3139,990,196497,undefined,undefined,undefined
