prolific_ID, age, gender, handedness, imageletter_con, block_number, block_type, letter_block, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, qnumber, resp
92,24,female,right,order_75_25,1,75,1,images/PICTURE_400.png,images/PICTURE_456.png,images/PICTURE_559.png,images/PICTURE_333.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_456.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">F</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,d,F,false,1808,10578,5532,363632,undefined,undefined,undefined
92,24,female,right,order_75_25,2,75,0,images/PICTURE_646.png,images/PICTURE_77.png,images/PICTURE_158.png,images/PICTURE_402.png,<div><img width = '150' height = '150' src = 'images/PICTURE_402.png'></img></div>,k,K,true,3010,14848,3006,386523,undefined,undefined,undefined
92,24,female,right,order_75_25,3,75,1,images/PICTURE_606.png,images/PICTURE_682.png,images/PICTURE_528.png,images/PICTURE_19.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_682.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">F</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,f,F,true,930,10810,4321,404614,undefined,undefined,undefined
92,24,female,right,order_75_25,4,75,1,images/PICTURE_549.png,images/PICTURE_322.png,images/PICTURE_153.png,images/PICTURE_276.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_276.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">K</div></a></div>,k,K,true,2586,17541,2346,429116,undefined,undefined,undefined
92,24,female,right,order_75_25,5,75,0,images/PICTURE_160.png,images/PICTURE_341.png,images/PICTURE_697.png,images/PICTURE_722.png,<div><img width = '150' height = '150' src = 'images/PICTURE_160.png'></img></div>,d,D,true,1637,10142,2069,445010,undefined,undefined,undefined
92,24,female,right,order_75_25,6,75,1,images/PICTURE_273.png,images/PICTURE_536.png,images/PICTURE_9.png,images/PICTURE_275.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_9.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">J</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,j,J,true,1064,16720,1178,466011,undefined,undefined,undefined
92,24,female,right,order_75_25,7,75,0,images/PICTURE_92.png,images/PICTURE_269.png,images/PICTURE_523.png,images/PICTURE_286.png,<div><img width = '150' height = '150' src = 'images/PICTURE_269.png'></img></div>,f,F,true,1019,14107,1952,485136,undefined,undefined,undefined
92,24,female,right,order_75_25,8,75,0,images/PICTURE_23.png,images/PICTURE_630.png,images/PICTURE_605.png,images/PICTURE_360.png,<div><img width = '150' height = '150' src = 'images/PICTURE_605.png'></img></div>,f,J,false,949,3103,1333,492545,undefined,undefined,undefined
92,24,female,right,order_75_25,9,75,0,images/PICTURE_512.png,images/PICTURE_491.png,images/PICTURE_614.png,images/PICTURE_410.png,<div><img width = '150' height = '150' src = 'images/PICTURE_410.png'></img></div>,f,K,false,974,10282,1531,507385,undefined,undefined,undefined
92,24,female,right,order_75_25,10,75,0,images/PICTURE_190.png,images/PICTURE_14.png,images/PICTURE_211.png,images/PICTURE_653.png,<div><img width = '150' height = '150' src = 'images/PICTURE_14.png'></img></div>,j,F,false,1750,18534,1878,531570,undefined,undefined,undefined
92,24,female,right,order_75_25,11,75,1,images/PICTURE_392.png,images/PICTURE_277.png,images/PICTURE_715.png,images/PICTURE_123.png,<div id="images"><a><img src="images/PICTURE_392.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">D</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,d,D,true,1768,16373,932,552673,undefined,undefined,undefined
92,24,female,right,order_75_25,12,75,0,images/PICTURE_487.png,images/PICTURE_305.png,images/PICTURE_75.png,images/PICTURE_416.png,<div><img width = '150' height = '150' src = 'images/PICTURE_487.png'></img></div>,d,D,true,810,9006,1562,566072,undefined,undefined,undefined
92,24,female,right,order_75_25,13,75,0,images/PICTURE_566.png,images/PICTURE_546.png,images/PICTURE_482.png,images/PICTURE_478.png,<div><img width = '150' height = '150' src = 'images/PICTURE_478.png'></img></div>,k,K,true,864,9539,533,579027,undefined,undefined,undefined
92,24,female,right,order_75_25,14,75,0,images/PICTURE_534.png,images/PICTURE_516.png,images/PICTURE_336.png,images/PICTURE_43.png,<div><img width = '150' height = '150' src = 'images/PICTURE_336.png'></img></div>,j,J,true,973,9000,1756,592770,undefined,undefined,undefined
92,24,female,right,order_75_25,15,75,0,images/PICTURE_654.png,images/PICTURE_234.png,images/PICTURE_299.png,images/PICTURE_149.png,<div><img width = '150' height = '150' src = 'images/PICTURE_234.png'></img></div>,f,F,true,2009,18712,995,616503,undefined,undefined,undefined
92,24,female,right,order_75_25,16,75,0,images/PICTURE_689.png,images/PICTURE_592.png,images/PICTURE_612.png,images/PICTURE_345.png,<div><img width = '150' height = '150' src = 'images/PICTURE_345.png'></img></div>,k,K,true,798,13412,1070,633801,undefined,undefined,undefined
