participant, age, gender, handedness, imageletter_con, block_number, block_type, letter_block, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, resp
7,35,male,right,1,1,1,1,images/PICTURE_417.png,images/PICTURE_110.png,images/PICTURE_504.png,images/PICTURE_63.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_63.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">K</div></a></div>",d,K,FALSE,3255,33034,2336,711829,undefined,undefined
7,35,male,right,1,2,1,0,images/PICTURE_400.png,images/PICTURE_515.png,images/PICTURE_9.png,images/PICTURE_134.png,<div><img width = '150' height = '150' src = 'images/PICTURE_515.png'></img></div>,j,F,FALSE,2459,11180,2557,730075,undefined,undefined
7,35,male,right,1,3,1,0,images/PICTURE_448.png,images/PICTURE_77.png,images/PICTURE_646.png,images/PICTURE_122.png,<div><img width = '150' height = '150' src = 'images/PICTURE_448.png'></img></div>,d,D,TRUE,2865,24379,12434,771793,undefined,undefined
7,35,male,right,1,4,1,1,images/PICTURE_692.png,images/PICTURE_713.png,images/PICTURE_425.png,images/PICTURE_145.png,"<div id=""images""><a><img src=""images/PICTURE_692.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,D,FALSE,9493,3019,13871,800209,undefined,undefined
7,35,male,right,1,5,1,0,images/PICTURE_547.png,images/PICTURE_258.png,images/PICTURE_468.png,images/PICTURE_193.png,<div><img width = '150' height = '150' src = 'images/PICTURE_258.png'></img></div>,f,F,TRUE,15644,4599,5300,827780,undefined,undefined
7,35,male,right,1,6,1,1,images/PICTURE_597.png,images/PICTURE_639.png,images/PICTURE_153.png,images/PICTURE_587.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_587.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">K</div></a></div>",j,K,FALSE,5543,6635,5843,847829,undefined,undefined
7,35,male,right,1,7,1,0,images/PICTURE_304.png,images/PICTURE_750.png,images/PICTURE_108.png,images/PICTURE_456.png,<div><img width = '150' height = '150' src = 'images/PICTURE_304.png'></img></div>,d,D,TRUE,6991,4361,13446,874660,undefined,undefined
7,35,male,right,1,8,1,1,images/PICTURE_277.png,images/PICTURE_570.png,images/PICTURE_176.png,images/PICTURE_685.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_176.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">J</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",j,J,TRUE,6846,5690,4510,893744,undefined,undefined
7,35,male,right,1,9,1,1,images/PICTURE_298.png,images/PICTURE_672.png,images/PICTURE_83.png,images/PICTURE_185.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_672.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,4296,9018,5714,914801,undefined,undefined
7,35,male,right,1,10,1,1,images/PICTURE_435.png,images/PICTURE_534.png,images/PICTURE_19.png,images/PICTURE_525.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_534.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,933,8207,6692,932658,undefined,undefined
7,35,male,right,1,11,1,1,images/PICTURE_314.png,images/PICTURE_234.png,images/PICTURE_232.png,images/PICTURE_517.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_234.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,9810,11810,1382,957696,undefined,undefined
7,35,male,right,1,12,1,1,images/PICTURE_183.png,images/PICTURE_336.png,images/PICTURE_178.png,images/PICTURE_721.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_178.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">J</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",j,J,TRUE,1638,3164,1650,966180,undefined,undefined
7,35,male,right,1,13,1,0,images/PICTURE_670.png,images/PICTURE_391.png,images/PICTURE_199.png,images/PICTURE_236.png,<div><img width = '150' height = '150' src = 'images/PICTURE_670.png'></img></div>,f,D,FALSE,707,3018,1445,973376,undefined,undefined
7,35,male,right,1,14,1,1,images/PICTURE_269.png,images/PICTURE_338.png,images/PICTURE_565.png,images/PICTURE_410.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_338.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,1127,5605,1025,983167,undefined,undefined
7,35,male,right,1,15,1,0,images/PICTURE_52.png,images/PICTURE_349.png,images/PICTURE_1.png,images/PICTURE_558.png,<div><img width = '150' height = '150' src = 'images/PICTURE_1.png'></img></div>,f,J,FALSE,1559,6009,1842,994624,undefined,undefined
7,35,male,right,1,16,1,1,images/PICTURE_556.png,images/PICTURE_124.png,images/PICTURE_419.png,images/PICTURE_206.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_124.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,805,8413,940,1006815,undefined,undefined
7,35,male,right,1,17,0,0,images/PICTURE_645.png,images/PICTURE_611.png,images/PICTURE_636.png,images/PICTURE_454.png,<div><img width = '150' height = '150' src = 'images/PICTURE_611.png'></img></div>,f,F,TRUE,1484,7037,2318,1023375,undefined,undefined
7,35,male,right,1,18,0,0,images/PICTURE_119.png,images/PICTURE_74.png,images/PICTURE_581.png,images/PICTURE_223.png,<div><img width = '150' height = '150' src = 'images/PICTURE_581.png'></img></div>,f,J,FALSE,837,5163,1970,1033375,undefined,undefined
