participant, age, gender, handedness, imageletter_con, block_number, block_type, letter_block, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, resp
47,20,male,right,1,1,1,1,images/PICTURE_576.png,images/PICTURE_116.png,images/PICTURE_276.png,images/PICTURE_367.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_276.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">J</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",j,J,TRUE,1363,5196,1205,238918,undefined,undefined
47,20,male,right,1,2,1,1,images/PICTURE_587.png,images/PICTURE_708.png,images/PICTURE_695.png,images/PICTURE_119.png,"<div id=""images""><a><img src=""images/PICTURE_587.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,2112,9407,1562,254025,undefined,undefined
47,20,male,right,1,3,1,0,images/PICTURE_703.png,images/PICTURE_697.png,images/PICTURE_525.png,images/PICTURE_728.png,<div><img width = '150' height = '150' src = 'images/PICTURE_703.png'></img></div>,d,D,TRUE,692,4769,1295,262806,undefined,undefined
47,20,male,right,1,4,1,1,images/PICTURE_491.png,images/PICTURE_92.png,images/PICTURE_606.png,images/PICTURE_40.png,"<div id=""images""><a><img src=""images/PICTURE_491.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,871,3939,910,270552,undefined,undefined
47,20,male,right,1,5,1,1,images/PICTURE_476.png,images/PICTURE_238.png,images/PICTURE_568.png,images/PICTURE_193.png,"<div id=""images""><a><img src=""images/PICTURE_476.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,1419,6734,584,281314,undefined,undefined
47,20,male,right,1,6,1,1,images/PICTURE_475.png,images/PICTURE_652.png,images/PICTURE_720.png,images/PICTURE_149.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_149.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">K</div></a></div>",k,K,TRUE,451,4104,620,288512,undefined,undefined
47,20,male,right,1,7,1,0,images/PICTURE_141.png,images/PICTURE_735.png,images/PICTURE_407.png,images/PICTURE_63.png,<div><img width = '150' height = '150' src = 'images/PICTURE_141.png'></img></div>,d,D,TRUE,965,6267,724,298490,undefined,undefined
47,20,male,right,1,8,1,1,images/PICTURE_62.png,images/PICTURE_448.png,images/PICTURE_478.png,images/PICTURE_711.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_448.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,642,6648,550,308354,undefined,undefined
47,20,male,right,1,9,1,0,images/PICTURE_485.png,images/PICTURE_369.png,images/PICTURE_308.png,images/PICTURE_400.png,<div><img width = '150' height = '150' src = 'images/PICTURE_400.png'></img></div>,k,K,TRUE,365,3252,908,314898,undefined,undefined
47,20,male,right,1,10,1,1,images/PICTURE_414.png,images/PICTURE_479.png,images/PICTURE_529.png,images/PICTURE_409.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_409.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">K</div></a></div>",k,K,TRUE,902,3781,581,322180,undefined,undefined
47,20,male,right,1,11,1,1,images/PICTURE_417.png,images/PICTURE_1.png,images/PICTURE_654.png,images/PICTURE_474.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_654.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">J</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",j,J,TRUE,428,2804,583,328028,undefined,undefined
47,20,male,right,1,12,1,1,images/PICTURE_164.png,images/PICTURE_437.png,images/PICTURE_605.png,images/PICTURE_88.png,"<div id=""images""><a><img src=""images/PICTURE_164.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,429,7588,387,338448,undefined,undefined
47,20,male,right,1,13,1,1,images/PICTURE_536.png,images/PICTURE_223.png,images/PICTURE_326.png,images/PICTURE_746.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_223.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,827,2809,448,344555,undefined,undefined
47,20,male,right,1,14,1,1,images/PICTURE_592.png,images/PICTURE_410.png,images/PICTURE_52.png,images/PICTURE_630.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_52.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">J</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",j,J,TRUE,346,4658,463,352039,undefined,undefined
47,20,male,right,1,15,1,1,images/PICTURE_360.png,images/PICTURE_378.png,images/PICTURE_552.png,images/PICTURE_36.png,"<div id=""images""><a><img src=""images/PICTURE_360.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,370,3354,556,358338,undefined,undefined
47,20,male,right,1,16,1,1,images/PICTURE_202.png,images/PICTURE_721.png,images/PICTURE_206.png,images/PICTURE_196.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_206.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">J</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",j,J,TRUE,665,4095,342,365464,undefined,undefined
47,20,male,right,1,17,0,0,images/PICTURE_71.png,images/PICTURE_228.png,images/PICTURE_441.png,images/PICTURE_590.png,<div><img width = '150' height = '150' src = 'images/PICTURE_228.png'></img></div>,k,F,FALSE,954,11266,2757,389395,undefined,undefined
47,20,male,right,1,18,0,0,images/PICTURE_348.png,images/PICTURE_372.png,images/PICTURE_339.png,images/PICTURE_290.png,<div><img width = '150' height = '150' src = 'images/PICTURE_339.png'></img></div>,j,J,TRUE,1440,12392,1396,406643,undefined,undefined
47,20,male,right,1,19,0,0,images/PICTURE_74.png,images/PICTURE_713.png,images/PICTURE_653.png,images/PICTURE_744.png,<div><img width = '150' height = '150' src = 'images/PICTURE_744.png'></img></div>,k,K,TRUE,851,3978,771,414264,undefined,undefined
47,20,male,right,1,20,0,0,images/PICTURE_200.png,images/PICTURE_79.png,images/PICTURE_370.png,images/PICTURE_151.png,<div><img width = '150' height = '150' src = 'images/PICTURE_151.png'></img></div>,k,K,TRUE,654,3173,351,420463,undefined,undefined
47,20,male,right,1,21,0,0,images/PICTURE_314.png,images/PICTURE_14.png,images/PICTURE_748.png,images/PICTURE_550.png,<div><img width = '150' height = '150' src = 'images/PICTURE_314.png'></img></div>,f,D,FALSE,497,5845,653,429481,undefined,undefined
47,20,male,right,1,22,0,0,images/PICTURE_604.png,images/PICTURE_716.png,images/PICTURE_420.png,images/PICTURE_105.png,<div><img width = '150' height = '150' src = 'images/PICTURE_604.png'></img></div>,d,D,TRUE,524,3447,984,436454,undefined,undefined
47,20,male,right,1,23,0,0,images/PICTURE_722.png,images/PICTURE_363.png,images/PICTURE_292.png,images/PICTURE_216.png,<div><img width = '150' height = '150' src = 'images/PICTURE_722.png'></img></div>,d,D,TRUE,1012,4663,421,444570,undefined,undefined
47,20,male,right,1,24,0,0,images/PICTURE_325.png,images/PICTURE_670.png,images/PICTURE_262.png,images/PICTURE_498.png,<div><img width = '150' height = '150' src = 'images/PICTURE_325.png'></img></div>,d,D,TRUE,1211,5533,678,454010,undefined,undefined
47,20,male,right,1,25,0,0,images/PICTURE_240.png,images/PICTURE_523.png,images/PICTURE_59.png,images/PICTURE_76.png,<div><img width = '150' height = '150' src = 'images/PICTURE_523.png'></img></div>,f,F,TRUE,1399,4867,1403,463699,undefined,undefined
47,20,male,right,1,26,0,0,images/PICTURE_465.png,images/PICTURE_457.png,images/PICTURE_397.png,images/PICTURE_690.png,<div><img width = '150' height = '150' src = 'images/PICTURE_457.png'></img></div>,f,F,TRUE,455,3305,1021,470500,undefined,undefined
47,20,male,right,1,27,0,0,images/PICTURE_416.png,images/PICTURE_362.png,images/PICTURE_573.png,images/PICTURE_349.png,<div><img width = '150' height = '150' src = 'images/PICTURE_573.png'></img></div>,j,J,TRUE,397,10829,536,484286,undefined,undefined
47,20,male,right,1,28,0,0,images/PICTURE_662.png,images/PICTURE_554.png,images/PICTURE_322.png,images/PICTURE_225.png,<div><img width = '150' height = '150' src = 'images/PICTURE_662.png'></img></div>,d,D,TRUE,1016,4192,868,492380,undefined,undefined
47,20,male,right,1,29,0,0,images/PICTURE_637.png,images/PICTURE_297.png,images/PICTURE_687.png,images/PICTURE_172.png,<div><img width = '150' height = '150' src = 'images/PICTURE_637.png'></img></div>,d,D,TRUE,410,4432,444,499686,undefined,undefined
47,20,male,right,1,30,0,0,images/PICTURE_689.png,images/PICTURE_672.png,images/PICTURE_85.png,images/PICTURE_235.png,<div><img width = '150' height = '150' src = 'images/PICTURE_235.png'></img></div>,k,K,TRUE,784,4555,455,507503,undefined,undefined
47,20,male,right,1,31,0,0,images/PICTURE_236.png,images/PICTURE_373.png,images/PICTURE_355.png,images/PICTURE_83.png,<div><img width = '150' height = '150' src = 'images/PICTURE_236.png'></img></div>,d,D,TRUE,758,3003,671,513956,undefined,undefined
