participant, age, gender, handedness, imageletter_con, block_number, block_type, letter_block, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, resp
48,36,male,right,1,1,1,0,images/PICTURE_409.png,images/PICTURE_702.png,images/PICTURE_416.png,images/PICTURE_684.png,<div><img width = '150' height = '150' src = 'images/PICTURE_409.png'></img></div>,d,D,TRUE,866,4269,940,135987,undefined,undefined
48,36,male,right,1,2,1,1,images/PICTURE_612.png,images/PICTURE_647.png,images/PICTURE_256.png,images/PICTURE_535.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_647.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,631,3721,1062,143418,undefined,undefined
48,36,male,right,1,3,1,1,images/PICTURE_590.png,images/PICTURE_470.png,images/PICTURE_433.png,images/PICTURE_391.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_470.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,746,3467,666,150311,undefined,undefined
48,36,male,right,1,4,1,1,images/PICTURE_334.png,images/PICTURE_130.png,images/PICTURE_725.png,images/PICTURE_500.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_500.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">K</div></a></div>",k,K,TRUE,474,4544,669,158011,undefined,undefined
48,36,male,right,1,5,1,1,images/PICTURE_46.png,images/PICTURE_400.png,images/PICTURE_527.png,images/PICTURE_670.png,"<div id=""images""><a><img src=""images/PICTURE_46.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,349,3075,539,163987,undefined,undefined
48,36,male,right,1,6,1,1,images/PICTURE_308.png,images/PICTURE_234.png,images/PICTURE_454.png,images/PICTURE_111.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_454.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">J</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",j,J,TRUE,294,3065,542,169903,undefined,undefined
48,36,male,right,1,7,1,1,images/PICTURE_324.png,images/PICTURE_101.png,images/PICTURE_148.png,images/PICTURE_390.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_101.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,380,2546,678,175523,undefined,undefined
48,36,male,right,1,8,1,1,images/PICTURE_517.png,images/PICTURE_369.png,images/PICTURE_744.png,images/PICTURE_338.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_744.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">J</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",j,J,TRUE,373,2903,522,181334,undefined,undefined
48,36,male,right,1,9,1,1,images/PICTURE_591.png,images/PICTURE_735.png,images/PICTURE_40.png,images/PICTURE_699.png,"<div id=""images""><a><img src=""images/PICTURE_591.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,297,1951,462,186059,undefined,undefined
48,36,male,right,1,10,1,0,images/PICTURE_505.png,images/PICTURE_297.png,images/PICTURE_332.png,images/PICTURE_99.png,<div><img width = '150' height = '150' src = 'images/PICTURE_505.png'></img></div>,d,D,TRUE,393,1848,1342,191655,undefined,undefined
48,36,male,right,1,11,1,0,images/PICTURE_19.png,images/PICTURE_163.png,images/PICTURE_546.png,images/PICTURE_33.png,<div><img width = '150' height = '150' src = 'images/PICTURE_546.png'></img></div>,j,J,TRUE,347,4781,725,199526,undefined,undefined
48,36,male,right,1,12,1,1,images/PICTURE_718.png,images/PICTURE_341.png,images/PICTURE_646.png,images/PICTURE_107.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_107.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">K</div></a></div>",k,K,TRUE,598,3562,538,206238,undefined,undefined
48,36,male,right,1,13,1,0,images/PICTURE_563.png,images/PICTURE_734.png,images/PICTURE_536.png,images/PICTURE_373.png,<div><img width = '150' height = '150' src = 'images/PICTURE_536.png'></img></div>,j,J,TRUE,543,3097,487,212378,undefined,undefined
48,36,male,right,1,14,1,0,images/PICTURE_357.png,images/PICTURE_365.png,images/PICTURE_397.png,images/PICTURE_142.png,<div><img width = '150' height = '150' src = 'images/PICTURE_365.png'></img></div>,f,F,TRUE,531,2519,609,218047,undefined,undefined
48,36,male,right,1,15,1,1,images/PICTURE_296.png,images/PICTURE_12.png,images/PICTURE_216.png,images/PICTURE_525.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_216.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">J</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",j,J,TRUE,661,1942,587,223251,undefined,undefined
48,36,male,right,1,16,1,0,images/PICTURE_370.png,images/PICTURE_358.png,images/PICTURE_104.png,images/PICTURE_178.png,<div><img width = '150' height = '150' src = 'images/PICTURE_178.png'></img></div>,k,K,TRUE,478,2321,476,228541,undefined,undefined
48,36,male,right,1,17,0,0,images/PICTURE_361.png,images/PICTURE_549.png,images/PICTURE_9.png,images/PICTURE_14.png,<div><img width = '150' height = '150' src = 'images/PICTURE_14.png'></img></div>,k,K,TRUE,1519,1489,814,234921,undefined,undefined
48,36,male,right,1,18,0,0,images/PICTURE_531.png,images/PICTURE_333.png,images/PICTURE_682.png,images/PICTURE_717.png,<div><img width = '150' height = '150' src = 'images/PICTURE_682.png'></img></div>,j,J,TRUE,663,1727,493,239814,undefined,undefined
48,36,male,right,1,19,0,0,images/PICTURE_482.png,images/PICTURE_323.png,images/PICTURE_651.png,images/PICTURE_457.png,<div><img width = '150' height = '150' src = 'images/PICTURE_482.png'></img></div>,d,D,TRUE,344,1959,936,245065,undefined,undefined
48,36,male,right,1,20,0,0,images/PICTURE_550.png,images/PICTURE_559.png,images/PICTURE_252.png,images/PICTURE_529.png,<div><img width = '150' height = '150' src = 'images/PICTURE_252.png'></img></div>,j,J,TRUE,533,2307,406,250322,undefined,undefined
48,36,male,right,1,21,0,0,images/PICTURE_628.png,images/PICTURE_223.png,images/PICTURE_202.png,images/PICTURE_489.png,<div><img width = '150' height = '150' src = 'images/PICTURE_223.png'></img></div>,j,F,FALSE,378,2518,764,255994,undefined,undefined
48,36,male,right,1,22,0,0,images/PICTURE_233.png,images/PICTURE_339.png,images/PICTURE_516.png,images/PICTURE_211.png,<div><img width = '150' height = '150' src = 'images/PICTURE_233.png'></img></div>,d,D,TRUE,508,2225,814,261557,undefined,undefined
48,36,male,right,1,23,0,0,images/PICTURE_579.png,images/PICTURE_255.png,images/PICTURE_119.png,images/PICTURE_687.png,<div><img width = '150' height = '150' src = 'images/PICTURE_119.png'></img></div>,j,J,TRUE,386,2274,448,266678,undefined,undefined
48,36,male,right,1,24,0,0,images/PICTURE_318.png,images/PICTURE_349.png,images/PICTURE_713.png,images/PICTURE_601.png,<div><img width = '150' height = '150' src = 'images/PICTURE_349.png'></img></div>,f,F,TRUE,430,2142,1040,272301,undefined,undefined
48,36,male,right,1,25,0,0,images/PICTURE_98.png,images/PICTURE_425.png,images/PICTURE_724.png,images/PICTURE_407.png,<div><img width = '150' height = '150' src = 'images/PICTURE_98.png'></img></div>,d,D,TRUE,419,1914,754,277398,undefined,undefined
48,36,male,right,1,26,0,0,images/PICTURE_512.png,images/PICTURE_556.png,images/PICTURE_592.png,images/PICTURE_25.png,<div><img width = '150' height = '150' src = 'images/PICTURE_25.png'></img></div>,k,K,TRUE,386,1999,999,282793,undefined,undefined
48,36,male,right,1,27,0,0,images/PICTURE_429.png,images/PICTURE_345.png,images/PICTURE_174.png,images/PICTURE_685.png,<div><img width = '150' height = '150' src = 'images/PICTURE_429.png'></img></div>,d,D,TRUE,395,2217,639,288057,undefined,undefined
48,36,male,right,1,28,0,0,images/PICTURE_43.png,images/PICTURE_161.png,images/PICTURE_504.png,images/PICTURE_661.png,<div><img width = '150' height = '150' src = 'images/PICTURE_161.png'></img></div>,f,F,TRUE,522,2142,553,293285,undefined,undefined
48,36,male,right,1,29,0,0,images/PICTURE_368.png,images/PICTURE_10.png,images/PICTURE_76.png,images/PICTURE_160.png,<div><img width = '150' height = '150' src = 'images/PICTURE_10.png'></img></div>,f,F,TRUE,508,2175,877,298854,undefined,undefined
48,36,male,right,1,30,0,0,images/PICTURE_261.png,images/PICTURE_83.png,images/PICTURE_732.png,images/PICTURE_588.png,<div><img width = '150' height = '150' src = 'images/PICTURE_261.png'></img></div>,d,D,TRUE,303,1825,636,303629,undefined,undefined
48,36,male,right,1,31,0,0,images/PICTURE_190.png,images/PICTURE_389.png,images/PICTURE_570.png,images/PICTURE_302.png,<div><img width = '150' height = '150' src = 'images/PICTURE_389.png'></img></div>,f,F,TRUE,397,2022,814,308873,undefined,undefined
48,36,male,right,1,32,0,0,images/PICTURE_607.png,images/PICTURE_249.png,images/PICTURE_275.png,images/PICTURE_267.png,<div><img width = '150' height = '150' src = 'images/PICTURE_275.png'></img></div>,j,J,TRUE,336,1993,444,313662,undefined,undefined
48,36,male,right,1,33,1,0,images/PICTURE_665.png,images/PICTURE_344.png,images/PICTURE_640.png,images/PICTURE_37.png,<div><img width = '150' height = '150' src = 'images/PICTURE_344.png'></img></div>,f,F,TRUE,952,1476,943,323125,undefined,undefined
48,36,male,right,1,34,1,1,images/PICTURE_439.png,images/PICTURE_745.png,images/PICTURE_722.png,images/PICTURE_240.png,"<div id=""images""><a><img src=""images/PICTURE_439.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,311,1690,555,327697,undefined,undefined
48,36,male,right,1,35,1,0,images/PICTURE_277.png,images/PICTURE_237.png,images/PICTURE_528.png,images/PICTURE_325.png,<div><img width = '150' height = '150' src = 'images/PICTURE_325.png'></img></div>,k,K,TRUE,311,1463,1105,332592,undefined,undefined
48,36,male,right,1,36,1,1,images/PICTURE_639.png,images/PICTURE_88.png,images/PICTURE_322.png,images/PICTURE_232.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_232.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">K</div></a></div>",k,K,TRUE,496,2211,523,337835,undefined,undefined
48,36,male,right,1,37,1,0,images/PICTURE_355.png,images/PICTURE_262.png,images/PICTURE_475.png,images/PICTURE_147.png,<div><img width = '150' height = '150' src = 'images/PICTURE_355.png'></img></div>,d,D,TRUE,119,2243,1102,343312,undefined,undefined
48,36,male,right,1,38,1,0,images/PICTURE_542.png,images/PICTURE_615.png,images/PICTURE_238.png,images/PICTURE_606.png,<div><img width = '150' height = '150' src = 'images/PICTURE_606.png'></img></div>,k,K,TRUE,477,2045,511,348360,undefined,undefined
48,36,male,right,1,39,1,0,images/PICTURE_145.png,images/PICTURE_380.png,images/PICTURE_692.png,images/PICTURE_620.png,<div><img width = '150' height = '150' src = 'images/PICTURE_380.png'></img></div>,f,F,TRUE,753,1867,664,353655,undefined,undefined
48,36,male,right,1,40,1,0,images/PICTURE_356.png,images/PICTURE_77.png,images/PICTURE_68.png,images/PICTURE_474.png,<div><img width = '150' height = '150' src = 'images/PICTURE_356.png'></img></div>,d,D,TRUE,562,2184,728,359143,undefined,undefined
48,36,male,right,1,41,1,0,images/PICTURE_225.png,images/PICTURE_360.png,images/PICTURE_127.png,images/PICTURE_521.png,<div><img width = '150' height = '150' src = 'images/PICTURE_360.png'></img></div>,d,F,FALSE,454,2227,708,364544,undefined,undefined
48,36,male,right,1,42,1,1,images/PICTURE_172.png,images/PICTURE_417.png,images/PICTURE_62.png,images/PICTURE_251.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_251.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">K</div></a></div>",k,K,TRUE,546,2176,525,369803,undefined,undefined
48,36,male,right,1,43,1,0,images/PICTURE_71.png,images/PICTURE_179.png,images/PICTURE_371.png,images/PICTURE_488.png,<div><img width = '150' height = '150' src = 'images/PICTURE_371.png'></img></div>,j,J,TRUE,387,2042,603,374847,undefined,undefined
48,36,male,right,1,44,1,1,images/PICTURE_117.png,images/PICTURE_258.png,images/PICTURE_196.png,images/PICTURE_576.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_196.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">J</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",j,J,TRUE,494,2181,450,379988,undefined,undefined
