participant, age, gender, handedness, imageletter_con, block_number, block_type, letter_block, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, resp
30,20,male,right,1,1,1,1,images/PICTURE_348.png,images/PICTURE_721.png,images/PICTURE_537.png,images/PICTURE_653.png,"<div id=""images""><a><img src=""images/PICTURE_348.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,1823,10020,1256,2604805,undefined,undefined
30,20,male,right,1,2,1,1,images/PICTURE_345.png,images/PICTURE_115.png,images/PICTURE_96.png,images/PICTURE_488.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_115.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,761,6390,621,2614595,undefined,undefined
30,20,male,right,1,3,1,1,images/PICTURE_46.png,images/PICTURE_748.png,images/PICTURE_80.png,images/PICTURE_670.png,"<div id=""images""><a><img src=""images/PICTURE_46.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,936,2335,701,2620579,undefined,undefined
30,20,male,right,1,4,1,1,images/PICTURE_627.png,images/PICTURE_441.png,images/PICTURE_629.png,images/PICTURE_591.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_629.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">J</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",j,J,TRUE,1935,1620,507,2626651,undefined,undefined
30,20,male,right,1,5,1,0,images/PICTURE_642.png,images/PICTURE_491.png,images/PICTURE_556.png,images/PICTURE_349.png,<div><img width = '150' height = '150' src = 'images/PICTURE_556.png'></img></div>,f,J,FALSE,508,518,913,2630604,undefined,undefined
30,20,male,right,1,6,1,0,images/PICTURE_636.png,images/PICTURE_405.png,images/PICTURE_521.png,images/PICTURE_607.png,<div><img width = '150' height = '150' src = 'images/PICTURE_521.png'></img></div>,j,J,TRUE,428,1734,849,2635626,undefined,undefined
30,20,male,right,1,7,1,1,images/PICTURE_586.png,images/PICTURE_571.png,images/PICTURE_360.png,images/PICTURE_302.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_302.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">K</div></a></div>",k,K,TRUE,359,2672,615,2641284,undefined,undefined
30,20,male,right,1,8,1,0,images/PICTURE_97.png,images/PICTURE_470.png,images/PICTURE_177.png,images/PICTURE_500.png,<div><img width = '150' height = '150' src = 'images/PICTURE_470.png'></img></div>,d,F,FALSE,255,1486,735,2645772,undefined,undefined
30,20,male,right,1,9,1,1,images/PICTURE_402.png,images/PICTURE_357.png,images/PICTURE_652.png,images/PICTURE_174.png,"<div id=""images""><a><img src=""images/PICTURE_402.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,133,1509,721,2650148,undefined,undefined
30,20,male,right,1,10,1,1,images/PICTURE_226.png,images/PICTURE_576.png,images/PICTURE_286.png,images/PICTURE_392.png,"<div id=""images""><a><img src=""images/PICTURE_226.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,594,2086,841,2655684,undefined,undefined
